mod_turb,fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
x,20,45,0,20,90,0,0,1,2,-29.2,38,16,284,-25.5,69,27,270,-15.2,15,10,288,-13.4,92,9,213,-26.3,3,32,293,-9.9,8,16,286,-7,-9,85.63,0,2,29.83,6.21,0,6000,10000,10000
x,35,65,0,30,60,0,0,0,1,-29.1,3,31,302,-26.7,4,26,296,-15.8,14,17,311,-16.3,37,20,301,-19.9,2,43,300,-13.2,5,11,320,-6,-8,85.74,170,2,30.09,6.21,0,3000,10000,10000
x,25,60,6,40,60,6,0,0,2,-24.1,83,23,252,-25.2,45,22,270,-9.4,6,11,261,-7.3,6,11,285,-21.4,61,31,268,-7.9,88,13,217,4,-4,55.95,150,16,30.03,6.21,0,6000,7000,11000
x,55,100,6,50,110,12,1,1,3,-17.2,83,42,254,-15.3,89,32,263,-3.6,87,24,234,-0.5,100,33,223,-16.9,76,42,237,-2.9,92,21,243,6,5,93.3,230,6,29.38,6.21,0,400,3000,6000
x,50,110,0,50,90,6,0,0,3,-32.9,13,32,262,-24.8,5,47,250,-17.1,20,20,280,-13.5,9,23,283,-31.1,9,40,266,-18.1,30,19,270,0,-6,63.99,180,15,29.71,6.21,0,2000,5000,8000
x,45,95,0,50,90,9,0,0,3,-33.4,27,47,243,-24.7,5,59,245,-19.8,94,22,235,-14.8,43,24,259,-31.7,10,47,253,-20.9,81,16,253,-2,-8,63.51,180,16,29.8,6.21,0,3000,4000,5000
x,20,95,12,15,90,12,0,1,3,-34,6,41,241,-27.3,7,51,248,-22,81,6,75,-18,10,14,251,-31.1,3,46,253,-24.6,76,17,277,-5,-13,53.47,150,10,30,6.21,0,5000,10000,10000
x,15,50,0,15,65,0,0,0,2,-32.7,5,25,266,-26.4,10,32,249,-21.5,72,10,215,-18,15,6,262,-34,23,20,267,-19.7,10,5,272,-6,-10,73.32,0,1,30.09,6.21,0,4000,10000,10000
x,15,50,0,20,45,0,0,0,1,-39.8,17,14,290,-36,38,19,242,-21.7,48,18,262,-19.6,80,6,280,-27.9,1,42,325,-19.8,78,14,326,-6,-9,79.31,0,0,30.33,6.21,0,1500,2500,10000
x,30,30,0,25,45,0,0,0,2,-27.6,5,18,283,-26.7,5,19,292,-9.2,6,10,250,-8.7,9,9,354,-24.2,7,13,288,-7.5,4,13,253,2,-6,55.41,160,17,30.21,6.21,27,4000,10000,10000
