mod_turb,fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
x,50,110,12,60,105,12,1,1,4,-36.8,8,35,248,-22.3,3,55,250,-19.9,76,27,245,-11.5,38,19,252,-24.8,2,61,278,-20.4,38,35,259,-1,-7,63.75,180,13,29.83,6.21,0,3000,4000,5000
x,60,100,9,50,115,9,0,1,3,-31,15,50,275,-26.4,11,46,265,-21.8,77,25,248,-15.3,52,23,266,-27.6,28,46,284,-17,95,21,291,-2,-7,68.61,0,3,29.71,6.21,0,1500,4000,5000
x,50,100,6,65,115,9,0,1,3,-30.4,77,22,226,-20.7,86,25,229,-13.1,66,8,258,-6.4,97,20,156,-25.9,1,41,282,-12.7,55,23,285,1,-2,80.36,160,16,29.62,5.59,0,1000,2000,3000
x,20,40,0,25,30,6,0,0,1,-14.3,26,25,229,-12.2,6,15,238,5.6,12,9,220,7.9,7,9,241,-7.6,93,20,280,6.4,1,16,207,18,14,77.45,150,14,30.12,6.21,0,1800,12000,14000
x,15,30,0,15,20,0,0,0,1,-8.7,25,22,279,-7.6,97,18,267,5.6,92,11,232,5.2,100,13,256,-7.3,32,16,272,9,100,9,247,16,15,93.79,0,2,29.88,5.59,0,300,500,1000
x,30,60,0,25,55,0,0,0,2,-9,64,34,263,-6.2,19,24,268,3.3,1,16,269,3.5,52,15,251,-6.9,49,29,259,6.5,47,16,283,12,9,81.87,350,9,30.12,6.21,0,1500,2500,3500
x,20,20,0,15,25,0,0,0,0,-14.6,12,32,281,-11.2,5,29,274,-1.7,1,16,312,2.7,6,16,291,-12,1,21,288,4.8,6,11,321,8,6,87.19,0,1,30.36,6.21,0,2000,10000,10000
x,15,40,12,20,45,9,0,0,0,-13.7,1,9,287,-13.7,27,12,280,3.3,15,4,285,3.8,22,9,345,-12.8,94,17,205,5,2,7,190,11,9,87.47,0,1,30.39,6.21,0,800,15000,10000
x,25,25,0,15,30,0,0,0,1,-10.7,93,23,246,-8,99,21,235,4.5,78,8,263,1.6,97,9,215,-7.2,34,24,241,6.1,100,10,240,12,12,100,0,0,30.18,5.59,0,300,500,1500
x,5,10,0,5,20,0,0,0,1,-11.4,3,17,332,-13.9,63,16,237,4.8,44,6,330,5.6,87,8,251,-8.4,1,14,340,7.3,31,4,340,17,14,82.5,60,3,30.3,6.21,0,500,1300,3000
x,10,30,0,15,30,0,0,0,1,-7.1,11,18,299,-8.7,8,16,324,8.8,1,8,241,8.6,5,2,300,-5.2,2,10,272,11.8,10,7,295,19,16,82.74,0,1,30.27,6.21,0,2000,10000,10000
x,10,30,0,25,25,0,0,0,1,-5.4,45,20,278,-5.4,33,16,281,5.3,94,17,286,7.7,77,12,296,-4.7,3,14,280,10.4,56,11,289,18,15,82.62,0,1,30.15,6.21,0,1500,10000,10000
x,25,50,0,20,55,6,0,0,1,-7.4,85,37,266,-8,40,21,258,5.6,97,19,257,8.3,52,23,257,-7.9,72,26,252,6.7,86,12,270,19,16,82.74,360,5,30.03,5.59,0,1000,1500,7000
x,35,55,0,30,55,0,0,0,2,-7.9,81,40,249,-5.5,4,32,242,3.2,98,25,202,3.7,88,16,237,-8.2,71,34,250,5.6,100,22,227,11,10,93.55,350,4,30.09,2.49,0,300,600,2000
x,35,55,0,30,65,9,0,0,2,-13.4,6,28,254,-9.5,7,28,262,-2.4,91,12,234,3.1,94,15,255,-9.8,1,27,252,6.2,7,17,260,13,12,93.65,0,2,30.15,4.97,0,400,800,1500
x,45,55,9,35,55,9,0,0,1,-12.2,68,30,264,-7.7,78,31,260,4.2,7,18,273,1.1,19,14,273,-7.9,52,28,270,3.7,36,8,238,12,12,100,0,1,30.3,6.21,0,500,1500,2000
x,20,45,0,20,40,6,0,0,1,-10.7,55,28,265,-7.1,99,28,259,2.2,11,9,288,3.1,100,12,258,-6.9,91,29,253,3.9,92,12,277,10,9,93.5,340,5,30.33,1.86,0,200,400,700
x,15,55,0,25,50,0,0,0,2,-9.5,98,38,256,-7.9,86,30,272,0.8,5,10,286,1.7,100,21,187,-7.8,75,28,263,3.1,78,9,304,10,10,100,310,3,30.24,3.11,0,200,400,1500
x,10,40,0,15,40,0,0,0,1,-11.1,2,33,285,-9.9,4,29,277,1.3,7,9,292,2.6,5,11,287,-9.4,56,21,287,4.7,2,6,297,10,8,87.37,0,2,30.27,6.21,0,1500,10000,10000
x,35,45,0,25,55,9,0,0,1,-10.3,89,29,262,-8.2,96,33,273,-2.8,69,15,255,-1.7,66,9,263,-7.5,96,31,261,0.2,86,11,237,8,8,100,340,7,30.18,3.11,0,200,600,900
x,25,55,0,15,55,6,0,0,1,-11.5,40,28,255,-9.7,65,21,238,0.2,97,9,240,3.6,100,13,221,-9.3,97,28,256,2.7,81,6,262,9,9,100,0,1,30.09,3.73,0,300,500,1000
x,10,20,0,5,30,0,0,0,1,-13,4,22,257,-8.9,13,32,258,3.9,5,9,247,2.5,99,8,258,-10,3,21,249,5.4,18,7,263,13,13,100,0,1,30.06,1.86,0,400,600,1300
x,10,50,6,30,60,6,0,0,1,-10.6,87,20,253,-10.2,95,16,227,3.1,100,9,207,3.1,87,6,198,-10,89,10,231,2.7,98,5,179,14,14,100,350,8,29.85,2.17,0,100,300,400
x,10,40,0,10,25,0,0,0,1,-14.6,1,26,294,-5.6,4,36,259,-0.7,2,15,349,3.7,8,20,308,-12.1,2,20,269,1.9,2,9,330,8,6,87.19,0,1,30.21,6.21,0,1500,20000,10000
x,10,40,6,10,40,9,0,0,1,-18,60,13,222,-11.7,96,34,241,-3.5,94,13,213,1.8,34,3,219,-18,2,24,211,-1.7,24,10,200,9,8,93.45,0,2,30.21,2.8,0,300,2000,3000
x,10,30,0,5,35,0,0,0,0,-15.5,5,18,319,-16,89,11,235,0.5,9,8,4,0.6,85,4,310,-9.9,9,16,323,3.8,8,9,7,6,6,100,0,2,30.24,1.86,0,100,300,400
x,10,40,0,5,50,0,0,0,1,-12.1,82,21,252,-9.7,3,22,261,1.7,4,9,248,2.4,5,4,306,-11.3,61,19,259,2.3,7,6,265,6,5,93.3,350,2,30.24,0.93,0,10000,10000,10000
x,10,60,6,15,55,9,0,0,1,-11.9,31,20,268,-9.5,11,34,273,0.7,10,7,254,2.8,7,4,235,-9.4,9,32,243,4,5,3,216,9,7,87.28,0,2,30.33,6.21,0,2000,9000,11000
x,30,50,6,20,60,6,0,0,1,-8.8,96,33,230,-7.6,95,28,251,3.7,56,9,273,2.4,93,3,313,-6.9,94,27,213,2.5,90,6,295,10,10,100,0,1,29.94,1.24,0,100,200,500
x,40,90,6,45,80,6,0,1,4,-10.7,2,34,258,-3.8,99,20,214,0.1,93,12,303,7,100,6,190,-7,2,53,268,-1.9,35,20,288,10,6,76.18,60,4,29.8,6.21,0,1500,4000,5000
x,20,45,0,25,35,6,0,0,1,-19.1,1,39,297,-17.7,3,33,276,-13.3,88,17,310,-1.6,4,21,280,-16.9,5,28,294,-0.7,13,20,316,4,0,75.16,0,1,30.24,6.21,0,3500,10000,10000
x,25,45,0,25,55,0,0,0,1,-16.1,5,23,276,-16.4,11,22,305,-1.4,4,12,271,0.7,6,12,297,-12.4,3,22,279,3.4,2,12,28,3,3,100,360,3,30.21,5.59,0,100,10000,10000
x,20,50,0,25,50,0,0,0,1,-13.9,85,30,265,-11.6,48,29,266,-1,39,12,276,2.6,8,11,266,-9.2,2,31,268,1.1,24,8,299,6,3,81.07,0,1,30.18,6.21,0,100,10000,10000
x,20,50,0,20,55,0,0,0,2,-13.3,83,27,253,-11.5,65,32,227,0.6,75,12,242,3.5,35,14,265,-11.6,48,30,259,3.1,40,9,245,7,5,87.09,0,2,30.06,6.21,0,3000,10000,10000
x,35,80,6,25,80,6,0,1,3,-16.1,12,36,248,-10.5,31,37,254,-0.9,28,16,250,2.8,13,12,258,-14,7,42,253,-2.6,40,13,264,9,8,93.45,0,1,29.97,6.21,0,3000,4000,10000
x,30,45,0,30,45,0,0,0,1,-24.5,12,25,303,-17.5,5,40,250,-6.6,5,14,298,-4.1,100,15,247,-19.9,5,22,336,-3.3,10,18,328,3,3,100,0,1,30.33,6.21,0,500,10000,10000
x,10,15,0,10,15,0,0,0,1,-18.2,4,16,288,-18.4,7,12,315,2.3,5,13,280,2.2,15,11,304,-18.6,12,6,261,1.8,3,3,315,10,5,71.07,150,12,30.3,6.21,0,3000,10000,10000
x,10,15,0,10,35,0,0,0,1,-17.8,14,15,265,-16.4,3,13,268,-1.6,5,16,271,1.1,8,11,273,-19.3,81,16,270,0.6,3,10,253,7,1,65.61,10,4,30.27,6.21,0,10000,10000,10000
x,20,55,6,30,55,0,0,0,1,-15.1,7,21,268,-14.4,9,17,277,2.1,13,10,242,2.8,25,8,234,-14.9,29,22,264,3.2,3,11,262,15,9,67.33,150,10,30.03,6.21,0,4000,14000,16000
x,30,50,0,25,50,0,0,0,1,-19.9,5,31,263,-15,37,27,255,-4.5,67,22,248,-0.4,48,12,265,-16.4,2,32,282,-1.5,3,17,310,9,4,70.88,360,11,30.06,6.21,0,2000,4000,10000
x,15,30,0,20,40,0,0,0,1,-21.8,9,19,328,-23.3,36,21,307,-4.4,7,11,328,-3.9,7,11,296,-18.2,1,21,310,-0.8,6,19,330,3,1,86.69,0,1,30.18,6.21,0,3000,10000,10000
x,50,90,0,50,75,9,1,1,3,-17.7,87,40,254,-17.6,18,27,261,-0.8,28,30,238,2.5,23,15,259,-14.9,59,37,253,0.9,81,31,247,11,10,93.55,200,2,29.74,6.21,0,300,2000,4500
x,20,45,0,20,45,0,0,0,1,-20.8,4,27,289,-18.1,3,29,268,-8.3,15,19,307,-5.7,40,14,259,-19.8,1,24,292,-1.5,4,15,333,3,1,86.69,0,2,30.09,6.21,0,1500,10000,10000
x,25,40,0,10,40,0,0,0,1,-23.3,19,26,292,-21.6,12,21,287,-5.3,34,15,310,-5.3,18,11,292,-19.7,35,22,283,-1.8,22,9,324,1,0,93.03,330,3,30.18,3.11,0,100,10000,10000
x,30,50,0,30,50,0,0,0,1,-19.7,7,32,257,-18.8,26,29,257,-3.9,5,19,241,-2.1,100,19,218,-16.3,56,31,252,-1.6,77,19,253,12,6,66.7,190,8,29.94,6.21,0,5000,8000,11000
x,30,60,0,35,70,6,0,0,3,-21.7,13,34,252,-17.1,83,34,244,-6.2,9,21,259,-1.5,45,20,269,-20.3,6,34,258,-5.2,15,24,269,5,5,100,0,2,29.91,3.11,0,100,6000,10000
x,40,65,0,25,70,6,0,1,2,-27.8,16,38,256,-21.2,14,31,250,-10.8,92,12,247,-6.3,35,13,273,-24,15,40,273,-14.1,79,22,276,6,0,65.38,260,10,29.94,6.21,0,2000,10000,10000
x,20,60,0,25,60,0,0,0,2,-27.3,20,30,282,-23.7,12,28,272,-15,98,11,246,-12.6,98,14,254,-22.4,19,36,290,-7.9,29,21,298,-1,-1,100,170,2,30.15,0.12,0,100,10000,10000
x,25,75,6,20,65,6,0,0,2,-23.2,82,37,277,-21.9,65,29,277,-8.4,59,15,249,-5.9,40,20,272,-17.9,37,35,282,-5.2,40,15,255,5,3,86.89,150,14,29.85,6.21,0,1000,3000,5000
x,45,60,0,30,65,6,0,1,2,-27.6,11,33,246,-16.5,38,36,240,-12.7,95,20,231,-1.4,26,16,249,-24.5,16,36,277,-13.6,90,11,277,1,-2,80.36,0,1,29.85,6.21,0,2000,10000,10000
x,25,70,0,30,80,0,0,0,2,-30.1,30,37,288,-25.4,9,38,275,-18.2,53,19,253,-14.5,42,16,292,-20.8,63,45,276,-8.9,15,21,303,-1,-2,92.92,350,3,30.06,6.21,0,100,12000,10000
x,25,45,0,20,40,0,0,0,1,-32.4,16,24,260,-27.8,13,30,256,-14.4,67,16,277,-10.3,49,14,262,-27,2,41,312,-15.4,63,17,321,0,-2,86.39,0,2,30.24,6.21,0,1500,2000,10000
x,20,30,0,30,40,0,0,0,2,-25.8,7,19,263,-24.9,9,15,269,-7.5,7,12,246,-5.5,9,6,286,-22.4,4,21,272,-6.3,7,12,256,4,-3,60.29,160,12,30.18,6.21,0,4000,10000,10000
x,20,50,6,30,60,9,0,0,2,-22.5,81,37,240,-19,91,34,256,-7.3,95,24,234,-4.6,100,24,218,-18.1,42,43,247,-6,59,14,251,6,5,93.3,310,7,29.71,6.21,0,100,8000,10000
x,40,90,9,40,90,9,0,0,3,-26.8,3,45,268,-17.6,17,52,245,-15.3,86,11,262,-7,88,13,242,-24.1,2,40,276,-15.8,81,21,271,6,-4,48.67,230,10,29.91,6.21,0,3000,4000,8000
x,40,90,0,30,75,0,0,0,2,-29.2,3,47,267,-24.7,6,47,270,-15.3,78,24,249,-13.8,59,17,280,-26.2,4,41,272,-13.3,80,17,274,5,-2,60.54,200,8,30.18,6.21,0,2500,5000,10000
x,40,80,6,50,85,6,0,0,2,-25.4,9,38,264,-21.2,4,38,260,-11.2,41,27,264,-9.3,33,23,278,-23.6,2,33,262,-7.6,18,25,274,5,-4,52.17,170,14,30.21,6.21,0,7000,10000,10000
x,20,40,0,25,40,0,0,0,2,-24,3,42,260,-16.5,87,53,252,-11.8,51,27,254,-6.9,87,23,267,-20.1,1,31,269,-4,1,19,289,4,2,86.79,340,5,30.3,6.21,0,1000,2500,5000
x,15,35,0,20,40,0,0,0,1,-22.5,4,15,257,-20.1,7,27,243,-4.1,6,12,265,-2,7,19,243,-20.5,1,18,277,-1.7,2,9,284,-2,-2,100,280,3,30.3,0.06,0,100,10000,10000
x,25,40,0,40,50,0,0,0,2,-18.1,8,31,267,-16.9,35,24,258,-1.1,4,18,247,0,6,10,259,-16.5,12,26,258,-1.2,85,18,259,4,1,80.79,20,4,30.06,6.21,0,6000,8000,10000
x,40,70,0,40,80,6,0,0,2,-18.9,81,36,263,-14.1,14,34,261,-5.3,3,17,267,-1.1,17,15,267,-15.2,32,44,269,-3,42,15,263,5,2,80.93,320,3,30.03,6.21,0,1200,1500,2000
x,40,95,6,40,90,9,0,0,3,-22,3,49,266,-17.6,48,45,262,-10.9,56,18,237,-5.7,84,22,275,-17.8,43,47,261,-8.8,52,25,271,3,1,86.69,0,2,30,6.21,0,800,1000,10000
x,30,95,6,25,80,6,0,0,3,-27.5,4,42,274,-21,23,50,261,-16.6,89,9,257,-10.8,41,17,275,-20.5,5,48,266,-10,1,22,287,1,-1,86.49,0,2,30.24,6.21,0,700,2500,4500
x,35,75,0,40,80,0,0,0,2,-24.6,75,37,259,-22.2,58,37,257,-9.3,11,18,284,-7.5,11,16,270,-21.6,13,29,259,-6.6,35,13,257,-2,-3,92.86,30,3,30.18,6.21,0,9000,10000,10000
x,25,70,0,30,65,0,0,0,2,-22.9,34,37,257,-19.2,33,41,260,-6.7,3,21,267,-5.3,11,17,279,-21.9,49,30,247,-4.8,15,21,291,-1,-4,80.07,0,1,30,6.21,0,10000,10000,10000
x,40,110,6,35,100,9,0,1,3,-28.8,56,29,232,-20.4,71,38,227,-10.2,87,13,232,-6.6,100,17,235,-27.6,4,37,246,-14.1,97,20,242,3,1,86.69,0,1,29.68,6.21,0,500,4000,10000
x,30,75,0,25,65,6,0,0,2,-36.1,64,18,235,-24.9,6,39,237,-16.2,85,2,169,-13.7,52,10,269,-29.6,14,21,275,-19.8,63,21,283,-1,-1,100,320,6,29.97,2.49,0,200,1000,2500
x,35,60,0,20,60,0,0,0,2,-29.8,38,30,263,-27.5,43,25,255,-16.1,70,13,266,-14.8,61,10,247,-29.1,37,26,259,-11.9,26,12,295,-2,-4,86.18,300,3,30.09,6.21,0,5000,10000,10000
x,35,80,6,35,65,6,0,1,2,-27.1,76,38,253,-22.8,61,35,251,-12.1,93,16,257,-7.2,16,15,256,-26.3,26,37,250,-12,98,12,237,1,-2,80.36,310,4,29.8,6.21,0,3000,5000,7000
x,20,40,0,20,60,0,0,0,1,-32.1,10,18,287,-27.4,83,33,218,-17.1,81,12,264,-12.2,92,3,186,-26.8,34,32,283,-14.9,89,3,25,-3,-5,86.07,0,2,29.91,6.21,0,1000,2000,8000
