fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
20,50,0,35,55,0,0,0,0,-21.8,15,38,282,-19.8,11,28,277,-7,14,19,284,-6.9,70,18,278,-13.2,7,28,294,0.6,50,22,298,5,1,75.33,0,1,30.03,6.21,0,5000,7000,10000
30,60,0,25,65,0,0,0,0,-17.2,89,33,280,-15.6,26,41,278,-3.7,47,12,254,-1.5,44,11,274,-12.7,50,20,263,1.7,38,13,239,5,2,80.93,20,2,30.21,6.21,0,5000,10000,10000
20,50,0,40,45,0,0,0,0,-14.7,91,39,239,-11.9,67,33,251,-0.5,100,30,228,5,67,27,247,-11.8,54,38,244,1,85,22,258,12,6,66.7,130,13,30.06,6.21,24,3000,10000,10000
45,70,0,45,75,0,0,0,0,-20.7,5,47,264,-13.8,11,54,257,-14.1,89,27,273,-6.2,40,21,260,-13.1,21,41,263,0,7,21,296,12,4,58.02,170,16,29.8,6.21,0,1500,10000,10000
35,75,0,30,70,0,0,0,0,-23.9,11,36,281,-20.9,2,36,277,-12.1,53,24,290,-5.7,20,19,283,-14.3,9,31,280,-0.6,4,12,308,4,-2,64.93,0,1,30.09,6.21,0,4000,6000,10000
25,65,0,25,55,0,0,0,0,-17.9,83,27,263,-16.8,40,26,274,-3.6,13,14,259,-2.7,7,11,276,-11.9,18,29,252,1.1,7,6,225,-1,-2,92.92,330,3,30.45,6.21,0,3000,10000,10000
30,40,6,15,40,0,0,0,0,-15.6,4,24,255,-16,87,31,281,-3.6,43,6,295,-0.5,100,20,206,-14.3,13,29,265,4.3,5,4,271,1,-1,86.49,330,3,30.47,6.21,0,1000,5000,14000
10,35,0,10,30,0,0,0,0,-13.4,7,17,257,-12.3,17,11,293,5.6,1,8,254,2,97,9,187,-9.7,26,16,270,4.5,16,5,227,6,6,100,190,3,30.39,0.12,0,100,10000,10000
5,35,0,15,35,0,0,0,0,-11.3,8,17,261,-11.3,73,21,224,3.7,56,19,227,8,37,15,287,-9.4,4,20,252,3.3,96,12,245,11,10,93.55,0,2,30.21,6.21,0,600,3000,8000
45,60,0,35,55,0,0,0,0,-14.8,67,30,254,-11,13,32,248,-6.1,6,15,274,-0.6,94,17,251,-13.2,67,25,259,0.8,83,16,268,10,9,93.5,180,3,30.03,6.21,0,1000,5000,11000
30,55,0,35,50,0,0,0,0,-20,6,17,256,-18.4,65,22,253,-3.3,3,8,243,-4.3,93,17,253,-13.4,26,22,279,-2.9,100,8,260,4,1,80.79,330,7,30.36,6.21,0,1000,2500,3000
40,50,0,35,55,0,0,0,0,-18.6,54,30,255,-15.4,59,28,249,-3.4,2,16,266,-2.6,92,12,251,-16.1,96,25,258,-0.7,100,15,246,6,4,86.99,330,5,30.18,6.21,0,100,3000,5000
0,65,9,5,70,0,0,0,0,-24.2,7,26,258,-19.3,92,32,242,-13.2,3,10,296,-6.1,100,17,246,-22.9,14,23,276,-3.3,5,18,306,4,1,80.79,350,11,30.15,6.21,0,1000,3000,11000
35,50,0,20,55,0,0,0,0,-28.8,7,27,302,-28.4,9,21,301,-17.2,27,20,285,-15.4,58,19,305,-18.2,4,21,295,-1.5,13,20,330,0,-4,74.44,350,3,30.24,6.21,0,1500,10000,10000
15,60,0,30,50,0,0,0,0,-18.7,66,25,284,-19.1,60,25,285,-5.8,4,14,260,-4.3,22,11,290,-14.1,23,13,261,-2.9,9,17,240,0,-4,74.44,260,2,30.33,6.21,0,1000,10000,10000
35,45,0,35,40,0,0,0,0,-19.4,80,21,252,-18.2,40,15,263,-4.7,100,16,233,-1.5,67,10,252,-15.3,87,28,234,-1.6,99,18,235,5,-1,65.16,150,16,30.27,6.21,0,3500,10000,10000
10,50,0,40,70,0,0,0,0,-24.3,3,37,237,-18.3,60,36,232,-8,19,23,240,0.4,77,28,237,-19.2,3,46,250,-7,5,18,290,9,7,87.28,150,13,29.91,6.21,0,400,4000,6000
20,85,9,30,75,0,0,0,0,-25.7,5,34,264,-22.2,4,38,258,-14.4,96,21,269,-10,65,11,256,-13.7,10,49,270,-5.7,7,17,276,4,3,93.19,0,1,29.94,6.21,0,300,4500,10000
35,85,9,35,95,0,0,0,0,-23.9,7,45,269,-15.7,5,55,258,-15.6,57,23,273,-12.5,57,15,275,-15.5,19,39,264,-7.8,14,17,297,4,-3,60.29,0,6,30.03,6.21,18,4000,6000,10000
30,90,9,30,85,0,0,0,0,-21.7,6,49,264,-19,12,45,252,-16.9,65,19,254,-11,29,17,281,-18.1,33,35,268,-8.5,12,20,289,3,-4,60.04,200,7,30.09,6.21,0,2000,6000,10000
30,75,6,25,85,0,0,0,0,-20.9,2,35,257,-15,49,51,271,-14,6,13,282,-5.4,3,20,262,-16.2,87,47,250,-7.1,6,8,300,0,-2,86.39,320,6,30.24,6.21,0,500,3000,5000
30,85,9,35,85,0,0,0,0,-22.5,2,28,267,-13.9,86,50,248,-12.7,90,10,281,-6.8,4,10,283,-20.7,2,20,261,-6.1,8,6,334,-1,-5,74.26,0,1,30.21,6.21,0,1600,15000,17000
15,40,6,20,35,0,0,0,0,-24.5,7,17,279,-22.6,4,16,258,-8.9,13,5,316,-6.4,15,6,286,-21.9,1,18,268,-5.1,4,4,247,-3,-5,86.07,0,1,30.18,6.21,0,2500,3500,10000
20,30,0,30,40,0,0,0,0,-25.8,27,23,245,-24.6,23,25,255,-7.8,8,16,235,-6.4,97,24,239,-21,7,26,268,-2.6,6,16,268,-1,-3,86.28,0,1,30.27,6.21,0,500,10000,10000
25,35,0,20,35,0,0,0,0,-21.4,52,26,248,-19.2,30,27,253,-4.5,29,17,243,-1.1,8,18,248,-20.4,24,28,250,-1.4,6,16,241,1,-1,86.49,0,1,30.18,6.21,0,300,10000,10000
30,45,0,30,50,0,0,0,0,-23.9,76,31,234,-15.3,84,35,219,-4.5,34,20,225,-0.6,32,22,241,-21.7,12,28,268,-5.4,82,18,265,0,-1,92.97,150,2,30.09,4.97,0,100,10000,10000
60,75,0,50,80,0,0,0,0,-22.7,5,39,281,-19.2,6,44,263,-15.5,9,19,282,-8.4,28,23,264,-17.4,34,28,271,-3.6,7,17,291,11,-2,40.25,230,14,29.85,6.21,0,4000,5000,10000
30,55,0,30,60,0,0,0,0,-24.4,92,27,256,-22.7,81,25,256,-7.9,43,17,265,-5.9,13,13,267,-19.5,31,25,266,-4.3,13,10,232,0,-4,74.44,0,1,30.27,6.21,0,1500,4000,10000
30,55,0,45,60,0,0,0,0,-22.5,2,39,293,-18,4,42,275,-13,9,20,298,-11.1,37,23,291,-17.2,52,25,278,-0.2,2,14,290,4,-1,69.88,150,18,30.06,6.21,29,6000,10000,10000
15,45,0,15,40,0,0,0,0,-23.5,14,24,293,-23.4,18,25,286,-7.9,10,10,288,-7.5,13,5,247,-17.1,78,23,271,-1.6,4,7,276,0,-4,74.44,300,3,30.3,6.21,0,2500,3500,10000
20,40,0,20,30,0,0,0,0,-19,7,13,255,-19.2,12,12,280,-5.1,65,14,251,-6,44,10,271,-14.1,28,29,255,-3.8,87,20,220,-4,-6,85.96,0,2,30.33,6.21,0,500,10000,10000
30,25,0,30,30,0,0,0,0,-19,62,25,275,-17.6,68,21,277,-2.5,86,13,287,0.1,42,12,279,-14.6,13,26,271,-0.9,99,22,265,2,1,93.08,0,1,30.12,6.21,0,700,4000,4500
40,40,0,30,50,0,0,0,0,-22.5,39,38,268,-21.3,42,27,264,-6.9,4,16,290,-4.4,30,14,254,-15.7,46,32,273,-3.1,76,14,279,9,7,87.28,340,6,29.85,6.21,0,2500,5000,7000
30,60,6,30,65,0,0,0,0,-20.8,6,44,261,-18.5,38,37,261,-8.4,98,20,237,-4.7,89,23,253,-18.3,74,46,267,-3.7,26,17,257,2,0,86.59,0,1,30.09,6.21,0,1000,2500,11000
35,95,0,40,90,0,0,0,0,-23.9,3,45,269,-19.7,45,46,259,-12.3,4,18,276,-9.8,24,17,271,-20,87,38,242,-5.7,43,18,285,8,-6,36.48,0,2,30.03,6.21,0,6000,10000,10000
40,65,6,40,70,0,0,0,0,-25.5,38,38,263,-21.5,82,34,246,-11,11,22,266,-7.1,8,18,266,-18.2,14,37,266,-4.3,76,15,270,0,-2,86.39,160,3,30.24,6.21,0,500,10000,10000
20,60,9,20,65,0,0,0,0,-21.1,87,29,234,-16.6,89,29,243,-9.2,36,5,294,-5.8,100,21,137,-20.8,10,28,263,-4.3,25,12,312,-1,-3,86.28,0,1,30.12,6.21,0,200,16000,10000
20,50,0,75,60,0,0,0,0,-26.7,18,28,267,-24.6,8,28,254,-11.9,99,11,242,-10.5,49,9,267,-21.4,40,32,280,-4.8,9,20,299,1,0,93.03,0,1,29.94,2.49,0,300,400,500
25,65,6,25,65,0,0,0,0,-29.9,24,21,283,-26,5,33,276,-9.4,9,17,297,-8.9,13,17,314,-21.6,16,23,279,-4.7,21,5,268,1,-1,86.49,320,3,30.15,6.21,0,500,2000,4000
25,40,0,30,40,0,0,0,0,-23.6,43,34,271,-23.1,47,27,278,-5.9,37,22,275,-5.1,9,14,279,-15.3,89,28,220,-3,98,6,286,-4,-5,92.74,0,2,30.24,6.21,0,4000,10000,10000
10,65,9,20,50,0,0,0,0,-22.2,75,36,260,-18.9,55,32,265,-5.6,87,20,248,-3.6,75,13,255,-17.6,36,34,264,-3.2,89,14,253,1,-1,86.49,0,1,29.94,6.21,0,7000,12000,15000
45,70,6,40,75,0,0,0,0,-27.3,12,35,295,-24.2,10,35,276,-18.5,20,16,297,-13.8,10,28,307,-20,11,37,284,-6.1,23,20,303,4,3,93.19,160,3,29.5,2.49,0,100,300,500
25,65,0,25,65,0,0,0,0,-25.1,4,28,278,-23.6,6,30,282,-12.4,23,16,303,-10.7,12,17,299,-15.1,25,36,273,-4.7,6,13,277,-2,-4,86.18,0,1,30.15,6.21,0,1000,10000,10000
25,65,6,35,65,0,0,0,0,-20.3,80,35,273,-17.9,86,37,276,-10.6,51,10,261,-9.5,23,14,269,-15.1,92,36,262,-0.8,100,28,254,-4,-6,85.96,0,1,30.36,6.21,0,200,10000,10000
45,60,6,40,50,0,0,0,0,-22.6,37,39,262,-19,8,32,273,-3,11,24,268,-1.5,14,16,286,-16.4,5,28,249,0.1,10,15,246,4,0,75.16,160,11,30.24,6.21,0,3000,4000,5000
50,85,0,60,80,0,0,0,0,-26,6,35,288,-22.9,3,32,269,-13,10,19,283,-5.6,4,15,281,-19.5,8,34,287,-5.4,3,16,309,10,5,71.07,170,9,29.85,6.21,0,2500,5000,10000
