fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
20,25,0,20,40,0,0,0,0,-29.1,5,17,329,-31.8,23,19,318,-11.5,14,11,315,-13.3,20,11,330,-21.1,5,14,315,-7.9,10,7,332,0,-4,74.44,0,2,30.03,6.21,0,2000,10000,10000
10,25,0,15,25,0,0,0,0,-23.2,21,19,255,-22.3,9,15,260,-6.2,5,13,257,-4.2,7,6,248,-17.7,87,21,267,-3.1,96,5,277,3,-4,60.04,160,8,30.24,6.21,0,10000,10000,10000
30,30,0,15,20,0,0,0,1,-18.1,88,11,209,-15.4,90,19,215,-3.9,94,14,192,-7,51,11,136,-19.8,77,18,240,0,90,11,269,8,-1,53,140,6,30.09,6.21,0,6000,10000,10000
35,30,0,35,25,0,0,0,2,-27.5,22,24,270,-24.7,24,29,271,-7.5,7,13,299,-2.1,6,29,281,-24.8,6,34,261,-8.7,22,17,267,0,0,100,170,4,29.47,2.17,0,1000,1500,10000
25,45,0,20,30,0,0,0,1,-29.8,11,22,246,-28.3,26,24,252,-10.9,23,18,261,-9.4,70,10,265,-27.5,13,31,273,-10.9,62,20,271,3,0,80.65,0,2,29.68,6.21,0,1500,10000,10000
40,60,0,35,55,0,0,0,1,-37.3,15,35,272,-27,7,40,255,-19.1,77,24,279,-15.2,66,13,250,-25.2,5,37,282,-14.4,43,24,300,4,0,75.16,190,11,29.68,4.97,0,800,1500,3000
40,75,6,20,75,0,0,0,0,-30.3,16,33,269,-24.2,8,36,263,-16,88,14,264,-15.3,82,13,266,-25.5,69,35,268,-12.1,36,8,316,1,-3,74.63,360,5,30,6.21,0,1000,3000,5000
25,60,6,20,60,0,0,0,0,-33.9,79,26,239,-28.7,73,40,249,-14.6,85,12,262,-12.6,55,9,256,-30.2,17,34,272,-12.7,97,20,278,2,-7,51.33,150,7,30.12,6.21,0,10000,10000,10000
30,40,0,10,40,0,0,0,0,-33.9,72,20,273,-29.7,9,31,278,-16.7,18,12,283,-13.5,85,14,267,-23.1,5,31,283,-8.2,39,26,290,1,-1,86.49,0,2,29.85,4.97,0,600,2000,10000
30,65,6,40,55,0,0,0,0,-32.1,8,21,327,-33.9,33,11,284,-15,14,12,327,-13.6,50,14,313,-19.9,7,21,301,-4.6,7,16,305,0,-4,74.44,0,2,29.97,6.21,0,6000,10000,10000
